Amino acid,G1-20d,G1-40d,G1-70d,G1-90d,G1-180d,G2-20d,G2-40d,G2-70d,G2-90d,G2-180d,G3-20d,G3-40d,G3-70d,G3-90d,G3-180d
Alanine,8.313146741,13.6012112,15.17126045,23.83850874,21.92068623,19.57342616,20.28369965,23.40519145,25.57546693,24.47624068,19.62742914,32.35521034,38.47023371,41.31011188,37.62586275
Arginine,3.571250977,6.758897492,5.687468921,5.502393088,4.946854799,3.503188463,4.655506479,5.663988066,7.05553456,3.105261064,4.695395326,7.193018399,6.793515664,5.579731477,5.6829637
Asparagine,2.795304397,5.324051053,4.98206294,4.759765169,6.401754635,6.316308304,8.38730184,7.165091994,6.310625844,3.974321233,4.908710094,3.839761313,4.695395326,3.120929175,3.203242168
Aspartate,4.942873718,6.517358311,7.450983874,6.040327307,3.58013071,3.263272004,4.46810542,4.320895077,6.276280457,8.605091994,6.073515664,5.353053207,6.113018399,9.472757335,10.03273993
Glutamate,15.17126045,21.93844569,18.14964126,18.73005194,18.19771021,25.06430632,27.78551964,28.42651417,29.86990801,26.72789657,26.65444058,33.81609331,33.84841372,32.49800567,30.96918946
Glycine,4.198278516,5.614019509,8.817707963,13.36838564,13.41662523,8.152660368,9.421058027,7.885091994,10.27668529,14.442546,8.882685231,11.79246146,14.64560915,18.06788896,14.96610641
Leucine,9.841526367,14.40811252,13.4077455,14.46095581,12.71121925,13.8410542,16.41320736,22.38602089,21.266181,17.76525112,12.83295873,16.6854003,18.16582795,17.26760318,18.51687718
Lysine,8.36801165,13.1182662,12.74152873,14.09067983,8.117200635,12.07133168,15.64397812,20.24497265,21.98756837,21.31602188,12.41475485,17.77422576,18.55637991,18.78194986,20.65450025
Proline,7.380443276,8.094728991,6.392874902,3.197800751,2.517581871,11.00923322,12.51586275,9.974261561,5.496510369,5.248527385,9.241635007,11.06189013,9.984286425,9.317215316,7.193018399
Serine,6.667199451,7.208856926,4.903684497,5.09023898,13.05948237,14.48889906,16.73370462,9.623212332,5.565231228,5.672938836,5.40196917,7.345386091,5.722466435,3.84991605,6.082466435
Threonine,4.237467737,6.826561057,3.571250977,3.248174954,2.857142857,10.68083541,14.24055694,8.591665838,3.898155439,4.334321233,6.433515664,5.351665838,3.984346096,2.348640126,2.922247638
Valine,4.170846061,9.97241363,8.078011413,13.85998437,4.285714286,10.3737643,11.16,15.78563899,18.2311089,16.65469915,10.3482367,13.30884137,15.71665838,17.33284535,16.58571855