Metabolite name,ID
D-Mannose,MNXM1105842
D-Glucose,MNXM1137670
D-Galactose,MNXM1108176
D-Fructose,MNXM729613
L-Lactate,MNXM731835
D-Lactate,MNXM731834
Acetate,MNXM26
L-Alanine,MNXM1105732
D-Alanine,MNXM1105731
L-Arginine,MNXM739527
D-Arginine,MNXM1552
L-Asparagine,MNXM1107821
D-Asparagine,MNXM7235
L-Aspartate,MNXM1108206
D-Aspartate,MNXM974
L-Glutamate,MNXM741173
D-Glutamate,MNXM331
Glycine,MNXM29
L-Leucine,MNXM1106761
D-Leucine,MNXM8497
L-Lysine,MNXM1106164
D-Lysine,MNXM1104802
D-Lysine,MNXM1106165
L-Proline,MNXM114
D-Proline,MNXM162989
L-Threonine,MNXM142
D-Threonine,MNXM2514
L-Valine,MNXM199
D-Valine,MNXM8512